,,English/Anglais,French/Français,,,,,,,,,,
Metadata Name/Nom de métadonnées,,Methylmercury bioaccumulation in benthic invertebrate assemblages in the Beaufort Sea,Bioaccumulation de méthylmercure dans les assemblages d'invertébrés benthiques de la mer de Beaufort,,,,,,,,,,
Metadata File Identifier/Identificateur de fichier de métadonnées,,6a104e8f-bfa8-442d-87a9-3c85e7b31deb,6a104e8f-bfa8-442d-87a9-3c85e7b31deb,,,,,,,,,,
File Name/Nom du fichier,,CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv,CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv,,,,,,,,,,
Date File Generated/Date de création du fichier,,2023-01-23,2023-01-23,,,,,,,,,,
File Content/Description du contenu du fichier ,,"Data consists of methylmercury concentrations, fatty acid proportions and carbon, nitrogen and sulfur stable isotope values for benthic invertebrates (51 taxa, 476 individuals) from two locations in the Canadian Beaufort Sea.","Les données concernent les concentrations de méthylmercure, les proportions d'acides gras et les valeurs des isotopes stables du carbone, de l'azote et du soufre pour les invertébrés benthiques (51 taxons, 476 individus) de deux sites de la mer de Beaufort canadienne.",,,,,,,,,,
Organization Name/Nom de l'organisation ,,Environment and Climate Change Canada/Science and Technology Branch/Wildlife and Landscape Science Directorate/Ecotoxicology and Wildlife Health Division,Environnement et Changement climatique Canada/Direction générale des sciences et de la technologie/Direction des sciences des espèces sauvages et du paysage/Écotoxicologie et santé de la faune,,,,,,,,,,
Organization Contact Information/Coordonnées de l'organisation,,"Office of the Director, Ecotoxicology and Wildlife Health Division, 1125 Colonel Br Drive, Ottawa, Ontario, Canada, K1A 0H3","Bureau du directeur, Division de l'écotoxicologie et de la santé de la faune, 1125, promenade Colonel By, Ottawa, ON, K1A 0H3",,,,,,,,,,
Email/Courriel,,ec.enviroinfo.ec@canada.ca,ec.enviroinfo.ec@canada.ca,,,,,,,,,,
Program/Programme,,Ecotoxicology and Wildlife Health Division,Division de l'écotoxicologie et de la santé de la faune,,,,,,,,,,
"Principal Investigator (First name, Last name)/Nom du chercheur principal (Prénom, Nom)",,Dr. John Chételat,Dr. John Chételat,,,,,,,,,,
Principal Investigator Affiliation/Affiliation du chercheur principal ,,"Environment and Climate Change Canada, Science and Technology Branch, Wildlife and Landscape Science Directorate, Ecotoxicology and Wildlife Health Division",Environnement et Changement climatique Canada/Direction générale des sciences et de la technologie/Direction des sciences des espèces sauvages et du paysage/Écotoxicologie et santé de la faune,,,,,,,,,,
Principal Investigator Contact Information/Coordonnées du chercheur principal,,"john.chetelat@ec.gc.ca; 1125 Colonel By Drive, Ottawa, Ontario, Canada, K1A 0H3","john.chetelat@ec.gc.ca; 1125 promenade Colonel By, Ottawa, Ontario, Canada, K1A 0H3",,,,,,,,,,
"Co-investigator (First Name, Last Name)/Co-chercheur (prénom, nom) ",,Christine McClelland,Christine McClelland,,,,,,,,,,
Co-investigator Affiliation/Affiliation du co-chercheur,,"Environment and Climate Change Canada, Science and Technology Branch, Wildlife and Landscape Science Directorate, Ecotoxicology and Wildlife Health Division",Environnement et Changement climatique Canada/Direction générale des sciences et de la technologie/Direction des sciences des espèces sauvages et du paysage/Écotoxicologie et santé de la faune,,,,,,,,,,
Data Steward /Responsible des données,,"Office of the Director, Ecotoxicology and Wildlife Health, 1125 Colonel By Drive, Ottawa, Ontario, Canada, K1A 0H3","Bureau du directeur, Division de l'écotoxicologie et de la santé de la faune, 1125, promenade Colonel By, Ottawa, ON, K1A 0H3",,,,,,,,,,
Open Government License-Canada/Licence du Gouvernement ouvert-Canada,,http://open.canada.ca/en/open-government-licence-canada,https://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,
Attribution,,"Environment and Climate Change Canada, [Year Accessed].  Data File Name: CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv, generated 2023-01-23. Accessed on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année consulté]. Nom du fichier de données : CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv, généré 2023-01-23. Consulté le [année-mois-jour] de [nom et adresse URL du portail de données].",,,,,,,,,,
Acknowledgment statement/Remerciements,,"The author(s) acknowledge Environment and Climate Change Canada for the provision of:  CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv, accessed from the Government of Canada Open Government Portal","Le (s) auteur (s) reconnaissent Environnement et Changement climatique Canada pour la fourniture du : CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv, accessible à partir du portail du Gouvernement ouvert du gouvernement du Canada",,,,,,,,,,
Recommended citation/Citation recommandée,,"Dr.John  Chételat, [2023]. Data file(s): CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv, generated [2023-01-23], Digital Object Identifier [If available]. Accessed [YYYY-MM-DD] from the Government of Canada Open Government Portal at open.canada.ca.","Dr. John  Chételat, [2023]. Fichier de données(s) : CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv, générée [2023-01-23], [Digital Object Identifier si disponible]. [Consulté AAAA-MM-JJ] du gouvernement du Canada Portail du Gouvernement ouvert à ouvert.canada.ca",,,,,,,,,,
Quality Assurance Level and Disclaimer/Niveau d’évaluation de la qualité,,"Level 2 - a complete, externally consistent data set of specified quality that consists of research products that have undergone interpretative and diagnostic analyses by the project staff or user community. ",Niveau 2 : ensemble de données complet et cohérent présentant un niveau de qualité donné et qui regroupe des produits de recherche que le personnel rattaché au projet ou la collectivité des utilisateurs a soumis à des analyses interprétatives et diagnostiques.,,,,,,,,,,
Questions,,For any questions regarding data please send email to [enviroinfo@canada.ca] and reference [CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv] - [Dr. John Chételat] and [Link to Catalogue page] ,"Pour toute question, veuillez envoyer un courriel à [enviroinfo@canada.ca] et référence [CanadianBeaufortSea_Invert_MeHg&SI_EN_FR.csv] - [Dr. John  Chételat] et [Lien vers la page du catalogue]",,,,,,,,,,
